Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,sepal_area
45,5.1,3.8,1.9,0.4,Iris-setosa,50.1
46,4.8,3.0,1.4,0.3,Iris-setosa,50.8
47,5.1,3.8,1.6,0.2,Iris-setosa,52.1
48,4.6,3.2,1.4,0.2,Iris-setosa,52.6
49,5.3,3.7,1.5,0.2,Iris-setosa,54.3
50,5.0,3.3,1.4,0.2,Iris-setosa,55.0
51,7.0,3.2,4.7,1.4,Iris-versicolor,58.0
52,6.4,3.2,4.5,1.5,Iris-versicolor,58.4
53,6.9,3.1,4.9,1.5,Iris-versicolor,59.9
54,5.5,2.3,4.0,1.3,Iris-versicolor,59.5
55,6.5,2.8,4.6,1.5,Iris-versicolor,61.5
56,5.7,2.8,4.5,1.3,Iris-versicolor,61.7
57,6.3,3.3,4.7,1.6,Iris-versicolor,63.3
58,4.9,2.4,3.3,1.0,Iris-versicolor,62.9
59,6.6,2.9,4.6,1.3,Iris-versicolor,65.6
60,5.2,2.7,3.9,1.4,Iris-versicolor,65.2
61,5.0,2.0,3.5,1.0,Iris-versicolor,66.0
62,5.9,3.0,4.2,1.5,Iris-versicolor,67.9
63,6.0,2.2,4.0,1.0,Iris-versicolor,69.0
64,6.1,2.9,4.7,1.4,Iris-versicolor,70.1
65,5.6,2.9,3.6,1.3,Iris-versicolor,70.6
66,6.7,3.1,4.4,1.4,Iris-versicolor,72.7
67,5.6,3.0,4.5,1.5,Iris-versicolor,72.6
68,5.8,2.7,4.1,1.0,Iris-versicolor,73.8
69,6.2,2.2,4.5,1.5,Iris-versicolor,75.2
70,5.6,2.5,3.9,1.1,Iris-versicolor,75.6
71,5.9,3.2,4.8,1.8,Iris-versicolor,76.9
72,6.1,2.8,4.0,1.3,Iris-versicolor,78.1
73,6.3,2.5,4.9,1.5,Iris-versicolor,79.3
74,6.1,2.8,4.7,1.2,Iris-versicolor,80.1
75,6.4,2.9,4.3,1.3,Iris-versicolor,81.4
76,6.6,3.0,4.4,1.4,Iris-versicolor,82.6
77,6.8,2.8,4.8,1.4,Iris-versicolor,83.8
78,6.7,3.0,5.0,1.7,Iris-versicolor,84.7
79,6.0,2.9,4.5,1.5,Iris-versicolor,85.0
80,5.7,2.6,3.5,1.0,Iris-versicolor,85.7
81,5.5,2.4,3.8,1.1,Iris-versicolor,86.5
82,5.5,2.4,3.7,1.0,Iris-versicolor,87.5
83,5.8,2.7,3.9,1.2,Iris-versicolor,88.8
84,6.0,2.7,5.1,1.6,Iris-versicolor,90.0
85,5.4,3.0,4.5,1.5,Iris-versicolor,90.4
86,6.0,3.4,4.5,1.6,Iris-versicolor,92.0
87,6.7,3.1,4.7,1.5,Iris-versicolor,93.7
88,6.3,2.3,4.4,1.3,Iris-versicolor,94.3
89,5.6,3.0,4.1,1.3,Iris-versicolor,94.6
90,5.5,2.5,4.0,1.3,Iris-versicolor,95.5
91,5.5,2.6,4.4,1.2,Iris-versicolor,96.5
92,6.1,3.0,4.6,1.4,Iris-versicolor,98.1
93,5.8,2.6,4.0,1.2,Iris-versicolor,98.8
94,5.0,2.3,3.3,1.0,Iris-versicolor,99.0
95,5.6,2.7,4.2,1.3,Iris-versicolor,100.6
96,5.7,3.0,4.2,1.2,Iris-versicolor,101.7
97,5.7,2.9,4.2,1.3,Iris-versicolor,102.7
98,6.2,2.9,4.3,1.3,Iris-versicolor,104.2
99,5.1,2.5,3.0,1.1,Iris-versicolor,104.1
100,5.7,2.8,4.1,1.3,Iris-versicolor,105.7
101,6.3,3.3,6.0,2.5,Iris-virginica,107.3
102,5.8,2.7,5.1,1.9,Iris-virginica,107.8
103,7.1,3.0,5.9,2.1,Iris-virginica,110.1
104,6.3,2.9,5.6,1.8,Iris-virginica,110.3
105,6.5,3.0,5.8,2.2,Iris-virginica,111.5
106,7.6,3.0,6.6,2.1,Iris-virginica,113.6
107,4.9,2.5,4.5,1.7,Iris-virginica,111.9
108,7.3,2.9,6.3,1.8,Iris-virginica,115.3
109,6.7,2.5,5.8,1.8,Iris-virginica,115.7
110,7.2,3.6,6.1,2.5,Iris-virginica,117.2
111,6.5,3.2,5.1,2.0,Iris-virginica,117.5
112,6.4,2.7,5.3,1.9,Iris-virginica,118.4
113,6.8,3.0,5.5,2.1,Iris-virginica,119.8
114,5.7,2.5,5.0,2.0,Iris-virginica,119.7
115,5.8,2.8,5.1,2.4,Iris-virginica,120.8
116,6.4,3.2,5.3,2.3,Iris-virginica,122.4
117,6.5,3.0,5.5,1.8,Iris-virginica,123.5
118,7.7,3.8,6.7,2.2,Iris-virginica,125.7
119,7.7,2.6,6.9,2.3,Iris-virginica,126.7
120,6.0,2.2,5.0,1.5,Iris-virginica,126.0
121,6.9,3.2,5.7,2.3,Iris-virginica,127.9
122,5.6,2.8,4.9,2.0,Iris-virginica,127.6
123,7.7,2.8,6.7,2.0,Iris-virginica,130.7
124,6.3,2.7,4.9,1.8,Iris-virginica,130.3
125,6.7,3.3,5.7,2.1,Iris-virginica,131.7
126,7.2,3.2,6.0,1.8,Iris-virginica,133.2
127,6.2,2.8,4.8,1.8,Iris-virginica,133.2
128,6.1,3.0,4.9,1.8,Iris-virginica,134.1
129,6.4,2.8,5.6,2.1,Iris-virginica,135.4
130,7.2,3.0,5.8,1.6,Iris-virginica,137.2
131,7.4,2.8,6.1,1.9,Iris-virginica,138.4
132,7.9,3.8,6.4,2.0,Iris-virginica,139.9
133,6.4,2.8,5.6,2.2,Iris-virginica,139.4
134,6.3,2.8,5.1,1.5,Iris-virginica,140.3
135,6.1,2.6,5.6,1.4,Iris-virginica,141.1
136,7.7,3.0,6.1,2.3,Iris-virginica,143.7
137,6.3,3.4,5.6,2.4,Iris-virginica,143.3
138,6.4,3.1,5.5,1.8,Iris-virginica,144.4
139,6.0,3.0,4.8,1.8,Iris-virginica,145.0
140,6.9,3.1,5.4,2.1,Iris-virginica,146.9
141,6.7,3.1,5.6,2.4,Iris-virginica,147.7
142,6.9,3.1,5.1,2.3,Iris-virginica,148.9
143,5.8,2.7,5.1,1.9,Iris-virginica,148.8
144,6.8,3.2,5.9,2.3,Iris-virginica,150.8
145,6.7,3.3,5.7,2.5,Iris-virginica,151.7
146,6.7,3.0,5.2,2.3,Iris-virginica,152.7
147,6.3,2.5,5.0,1.9,Iris-virginica,153.3
148,6.5,3.0,5.2,2.0,Iris-virginica,154.5
149,6.2,3.4,5.4,2.3,Iris-virginica,155.2
150,5.9,3.0,5.1,1.8,Iris-virginica,155.9
